"subj_id","left_word","left_number","middle_word","middle_number","right_word","right_number","correct_choice_position","is_catch_trial","participant_response_position_e2","is_consistent","trial_num","chose_gems","chose_onlystones","chose_other","response_position","stoneposition","chose_gems_p2","chose_onlystones_p2","chose_other_p2","response_position_p2","correct_choice_position_p2","rt","rt_p2","mentioned_rule"
"5b757a03976ecb0001b1168f","Refrigerator",4,"Soda",4,"Bee",4,"right",FALSE,"middle",FALSE,12,FALSE,FALSE,TRUE,"left","middle",FALSE,TRUE,FALSE,"middle","right",3874.89999997616,3271.69999992847,FALSE
"681b781064a5701a5ceee3bc","Dinosaur",4,"Hoop",3,"Toy",3,"left",FALSE,"left",TRUE,12,TRUE,FALSE,FALSE,"left","middle",TRUE,FALSE,FALSE,"left","left",1904.39999985695,4077.40000009537,TRUE
"6716c6700f376dc7f534af9d","Flashlight",1,"Jump rope",1,"Rabbit",1,"right",FALSE,"right",TRUE,12,TRUE,FALSE,FALSE,"right","middle",TRUE,FALSE,FALSE,"right","right",2270.79999995232,1825.40000009537,FALSE
"671a3ac3dada5efe6d439698","Clown",5,"Circle",3,"Spiderweb",3,"right",FALSE,"left",FALSE,12,TRUE,FALSE,FALSE,"right","middle",FALSE,FALSE,TRUE,"left","right",2272.09999990463,3618.5,FALSE
"676b89007874c8eace113276","Oranges",1,"Lizard",4,"String",4,"left",TRUE,"left",TRUE,12,TRUE,FALSE,FALSE,"left","middle",TRUE,FALSE,FALSE,"left","left",1703,1521,FALSE
"6825af939111d286546fdde6","Pool",3,"Shoulders",3,"Iron",3,"middle",FALSE,"middle",FALSE,12,FALSE,TRUE,FALSE,"right","right",TRUE,FALSE,FALSE,"middle","middle",2966.70000004768,2878.20000004768,FALSE
"67164c92298409e37c670b3d","Hamburger",4,"Pear",1,"Cable",1,"middle",TRUE,"middle",FALSE,12,FALSE,TRUE,FALSE,"left","left",TRUE,FALSE,FALSE,"middle","middle",1694.19999999925,1350.80000000075,FALSE
"682b3f63d0e2c4eff64fe664","Toilet",4,"Pizza",4,"Net",4,"middle",FALSE,"middle",TRUE,12,TRUE,FALSE,FALSE,"middle","left",TRUE,FALSE,FALSE,"middle","middle",2149.59999999404,1731.90000000596,TRUE
"5d3695969749cc00165c222f","Box",5,"Owl",5,"Flower",5,"left",FALSE,"left",FALSE,12,FALSE,FALSE,TRUE,"middle","right",TRUE,FALSE,FALSE,"left","left",2667.39999997616,651.900000035763,TRUE
"664521e03117b782ed4fff45","Underwear",1,"Feet",1,"Airplane",1,"right",FALSE,"right",TRUE,12,TRUE,FALSE,FALSE,"right","left",TRUE,FALSE,FALSE,"right","right",1888.90000000596,1981.29999999702,FALSE
"5f0db498f5e4e102c0f65b67","Bat",3,"Tree",2,"Sweater",2,"middle",FALSE,"left",TRUE,8,FALSE,TRUE,FALSE,"left","left",FALSE,TRUE,FALSE,"left","middle",1563.89999999851,1666.30000000075,FALSE
