success,trial_type,trial_index,time_elapsed,internal_node_id,STUDY_ID,PROLIFIC_PID,SESSION_ID,participant_number,reconstruction_instructions,comprehend_reconstruction,nonpretend_instructions,comprehend_np,nickname,bonus,condition,view_history,rt,responses,question_order,correct,test_part,grid,already_clicked,click_log,final_grid_state,num_clicks,cheat,round_points,misses,grid_number
,survey-text,20,247713,0.0-4.0-9.0,6978a4c5f1475ddbda96cde5,601623c50446147b23a5bdff,6978ad4b63e6c52637ea0cde,16,1,TRUE,1,TRUE,Player 16,63,symmetric,"",2511,"{""""worker_comments"""":""""""""}","",,"","","","","",,,,,
,instructions,21,250346,0.0-4.0-10.0,6978a4c5f1475ddbda96cde5,601623c50446147b23a5bdff,6978ad4b63e6c52637ea0cde,16,1,TRUE,1,TRUE,Player 16,63,symmetric,"[{""""page_index"""":0,""""viewing_time"""":2632}]",2632,"","",,"","","","","",,,,,
1,fullscreen,0,3949,0.0-0.0,6978a4c5f1475ddbda96cde5,67fbe860ceaf5c3054dd9654,6978ad4f0192585894169b6f,17,1,TRUE,1,TRUE,Player 17,54,asymmetric,"",,"","",,"","","","","",,,,,
,instructions,1,83000,0.0-1.0,6978a4c5f1475ddbda96cde5,67fbe860ceaf5c3054dd9654,6978ad4f0192585894169b6f,17,1,TRUE,1,TRUE,Player 17,54,asymmetric,"[{""""page_index"""":0,""""viewing_time"""":20399.60000000056},{""""page_index"""":1,""""viewing_time"""":20095},{""""page_index"""":2,""""viewing_time"""":15842.099999999627},{""""page_index"""":3,""""viewing_time"""":10062.100000000559},{""""page_index"""":4,""""viewing_time"""":12646.199999999255}]",79046.4000000004,"","",,"","","","","",,,,,
,survey-multi-choice,2,121319,0.0-2.0,6978a4c5f1475ddbda96cde5,67fbe860ceaf5c3054dd9654,6978ad4f0192585894169b6f,17,1,TRUE,1,TRUE,Player 17,54,asymmetric,"",38314.0999999996,"{""""Q0"""":""""... find all black cards whilst revealing as <b>few white cards</b> as possible""""}",[0],1,multichoice_part1,"","","","",,,,,
,instructions,3,125979,0.0-4.0-0.0,6978a4c5f1475ddbda96cde5,67fbe860ceaf5c3054dd9654,6978ad4f0192585894169b6f,17,1,TRUE,1,TRUE,Player 17,54,asymmetric,"[{""""page_index"""":0,""""viewing_time"""":4657.700000000186}]",4658.40000000037,"","",,"","","","","",,,,,
,findSquares,4,158578,0.0-4.0-1.0,6978a4c5f1475ddbda96cde5,67fbe860ceaf5c3054dd9654,6978ad4f0192585894169b6f,17,1,TRUE,1,TRUE,Player 17,54,asymmetric,"",,"","",,"","[['0', '0', '1', '0'], ['1', '1', '1', '1'], ['1', '1', '1', '0'], ['0', '0', '0', '0']]","[[2, 2]]","{'i': [1, 0, 2, 1, 3, 3, 2, 1, 1, 2, 3, 0], 'j': [1, 0, 1, 2, 1, 0, 0, 0, 3, 3, 2, 2], 't': [3044.100000000559, 4548.200000000186, 7153, 8242.800000000745, 16943.60000000056, 20214.10000000056, 21346.700000000186, 22435, 23252.60000000056, 23990.5, 29288.60000000056, 30579.10000000056], 'hit': ['1', '0', '1', '1', '0', '0', '1', '1', '1', '0', '0', '1'], 'b': []}","[['white', 'unknown', 'black', 'unknown'], ['black', 'black', 'black', 'black'], ['black', 'black', 'black', 'white'], ['white', 'white', 'white', 'unknown']]",12,0,3,,
,instructions,5,164860,0.0-4.0-2.0,6978a4c5f1475ddbda96cde5,67fbe860ceaf5c3054dd9654,6978ad4f0192585894169b6f,17,1,TRUE,1,TRUE,Player 17,54,asymmetric,"[{""""page_index"""":0,""""viewing_time"""":6279.200000000186}]",6280.30000000075,"","",,"","","","","",,,,,
,instructions,6,206047,0.0-4.0-3.0,6978a4c5f1475ddbda96cde5,67fbe860ceaf5c3054dd9654,6978ad4f0192585894169b6f,17,1,TRUE,1,TRUE,Player 17,54,asymmetric,"[{""""page_index"""":0,""""viewing_time"""":37137.40000000037},{""""page_index"""":1,""""viewing_time"""":4047.2999999998137}]",41185.2999999998,"","",,"","","","","",,,,,
,findSquares,7,246938,0.0-4.0-4.0-0.0,6978a4c5f1475ddbda96cde5,67fbe860ceaf5c3054dd9654,6978ad4f0192585894169b6f,17,1,TRUE,1,TRUE,Player 17,54,asymmetric,"",,"","",,non-pretend,"[['0', '0', '0', '0', '0', '0'], ['1', '1', '0', '0', '1', '1'], ['0', '0', '0', '0', '0', '0'], ['1', '0', '0', '0', '0', '1'], ['1', '1', '0', '0', '1', '1'], ['0', '0', '0', '0', '0', '0']]","[[1, 1], [1, 5], [3, 5], [4, 0]]","{'i': [1, 1, 4, 5, 3, 3, 2, 0, 0, 2, 3, 4, 2, 4, 4], 'j': [4, 0, 5, 5, 0, 1, 4, 1, 0, 1, 4, 3, 5, 1, 4], 't': [3775.5, 6217.200000000186, 11929, 13059.899999999441, 14878.700000000186, 18189.099999999627, 21504.299999999814, 26795.599999999627, 27883.5, 29197.099999999627, 31033, 32184.799999999814, 35182.09999999963, 37255, 38868.89999999944], 'hit': ['1', '1', '1', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '1', '1'], 'b': []}","[['white', 'white', 'unknown', 'unknown', 'unknown', 'unknown'], ['black', 'black', 'unknown', 'unknown', 'black', 'black'], ['unknown', 'white', 'unknown', 'unknown', 'white', 'white'], ['black', 'white', 'unknown', 'unknown', 'white', 'black'], ['black', 'black', 'unknown', 'white', 'black', 'black'], ['unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'white']]",15,0,17,,1
,instructions,8,250299,0.0-4.0-4.0-1.0,6978a4c5f1475ddbda96cde5,67fbe860ceaf5c3054dd9654,6978ad4f0192585894169b6f,17,1,TRUE,1,TRUE,Player 17,54,asymmetric,"[{""""page_index"""":0,""""viewing_time"""":3358.899999999441}]",3359.89999999944,"","",,"","","","","",,,,,
